Key,File,Type,UsedInMainMenu,NoTranslate,english
FotDDIronChest,Items,Resource,,,"Eisen Doppeltruhe"
FotDDIronChestDesc,Items,Resource,,,"Die Eisen Doppeltruhe\nDie kann sich sehen lassen"
FotDbetterBed,Items,Resource,,,"Einfaches Bett"
FotDbetterBedDesc,Items,Resource,,,"Jeder braucht ein gemütliches Bett"
FotDResourceBranch,Items,Resource,,,"Ast"
FotDResourceBranchDesc,Items,Resource,,,"Fühlt sich solide an\nDürfte sich für vieles gut eignen"
FotDResourceResin,Items,Resource,,,"Baumharz"
FotDResourceResinDesc,Items,Resource,,,"Seine klebrige eigenschaft könnte mir von nutzen sein"
FotDResourceLumber,Items,Resource,,,"Holzstamm"
FotDResourceLumberDesc,Items,Resource,,,"Ein solider Stamm\nKann zu Brettern verarbeitet werden"
FotDResourcePoop,Items,Resource,,,"Scheiße"
FotDResourcePoopDesc,Items,Resource,,,"WTF....\nHmmm es stinkt mir zwar aber ich denke man kann ihn noch gebrauchen"
FotDresourceOldCoffe,Items,Resource,,,"Kaffesatz"
FotDresourceOldCoffeDesc,Items,Resource,,,"Riecht ziemlich alt aber ich denke zur Not lässt sich damit noch was anfangen"
FotDresourceFuse,Items,Resource,,,"Sicherung"
FotDresourceFuseDesc,Items,Resource,,,"Eine intakte Sicherung wird mir noch sehr von nutzen sein"
FotDresourceIronPlates,Items,Resource,,,"Eisenplatte"
FotDresourceIronPlatesDesc,Items,Resource,,,"Eine einfache Eisenplatte\nWird für viele Rezepte gebraucht\n Hergestellt an der Schmiede"
FotDresourceElectricBoard,Items,Resource,,,"Schaltkreis"
FotDresourceElectricBoardDesc,Items,Resource,,,"Ein Schaltkreis?\nVielleicht kann ich das für den Maschinenbau noch gebrauchen"
FotDresourceBallBearing,Items,Resource,,,"Kugellager"
FotDresourceBallBearingDesc,Items,Resource,,,"Ein Kugellager\nDas könnte bestimmt noch nützlich werden"
FotDresourceIronBolts,Items,Resource,,,"Eisen Schrauben"
FotDresourceIronBoltsDesc,Items,Resource,,,"Eisen Schrauben, kann man immer gebrauchen\nHoffentlich habe ich den richtigen Schraubendreher dafür"
FotDresourceRottenToastetBread,Items,Resource,,,"Schimmelbrot"
FotDresourceRottenToastetBreadDesc,Items,Resource,,,"Ach komm schon was soll ich damit?\nWen ich so drüber nachdenke könnte es mal guter dünger werden"
FotDresourceSteelPlates,Items,Resource,,,"Stahlplatte"
FotDresourceSteelPlatesDesc,Items,Resource,,,"Eine einfache Stahlplatte\nWird für viele Rezepte gebraucht\nn Hergestellt an der Schmiede"
FotDresourceSteelBolts,Items,Resource,,,"Stahl Schrauben"
FotDresourceSteelBoltsDesc,Items,Resource,,,"Stahl Schrauben, kann man immer gebrauchen\nHoffentlich habe ich den richtigen Schraubendreher dafür"
FotDresourceToastetBread,Items,Resource,,,"Toastbrot"
FotDresourceToastetBreadDesc,Items,Resource,,,"Hmmm...?\nRelativ frisch getoastet, war hier erst jemand?\nNun ich denke ich habe noch etwas Wurst daheim um es mir zu belegen..."
FotDresourceWoodPlanks,Items,Resource,,,"Holzbrett"
FotDresourceWoodPlanksDesc,Items,Resource,,,"Ein einfaches Holzbrett\nIn dieser Form dürfte es sehr nützlich werden"
FotDworkstationAnvil,Items,Resource,,,"Amboss"
FotDworkstationAnvilDesc,Items,Resource,,,"Ein echter Amboss\nGott ist der schwer...\nAber ich denke auch überaus nützlich"
FotDResearchStation_Tier_1,Items,Resource,,,"Forschungsstation"
FotDResearchStation_Tier_1Desc,Items,Resource,,,"Der Forschungstischh wird benötigt um neue Dinge zu erlernen"
